1;Zsolt;secure123;zsolt@example.com;2020-01-01;5
2;Kovács Zoltán;secure123;kovács.zoltán@example.com;2020-04-13;1
3;Nagy Anna;secure123;nagy.anna@example.com;2020-05-04;1
4;Szabó Péter;secure123;szabó.péter@example.com;2020-05-10;3
5;Tóth Eszter;secure123;tóth.eszter@example.com;2020-02-27;3
6;Varga László;secure123;varga.lászló@example.com;2020-02-29;4
7;Nagy Júlia;secure123;kiss.júlia@example.com;2020-05-11;4
8;Molnár Gábor;secure123;molnár.gábor@example.com;2020-06-22;4
9;Németh Katalin;secure123;németh.katalin@example.com;2020-07-20;3
11;Balogh Éva;secure123;balogh.éva@example.com;2020-05-19;4
12;Papp András;secure123;papp.andrás@example.com;2020-10-28;2
13;Lakatos Dóra;secure123;lakatos.dóra@example.com;2020-11-18;5
14;Takács István;secure123;takács.istván@example.com;2020-12-11;4
16;Mészáros Attila;secure123;mészáros.attila@example.com;2020-07-19;4
17;Simon Veronika;secure123;simon.veronika@example.com;2020-10-21;4
18;Fekete Ádám;secure123;fekete.ádám@example.com;2020-03-27;3
19;Rácz Gabriella;secure123;rácz.gabriella@example.com;2020-02-09;2
20;Tóth Krisztián;secure123;oláh.krisztián@example.com;2020-08-10;3
21;Bognár Zsuzsanna;secure123;bognár.zsuzsanna@example.com;2020-08-15;2
22;Kiss Géza;nagygeza123;nagygeza@moriczref.hu;2025-09-07;1
21;asd;pw;email@example.com;2025-09-07;5
22;qwerz;Jelszo2025;qwertz@mzsrk.hu;2025-10-20;1
